event,initial_day,end_day,length,source
113,11/24/2010,11/28/2010,5,Climanalise
114,11/30/2010,12/06/2010,7,Climanalise
115,12/13/2010,12/17/2010,5,Climanalise
116,12/27/2010,12/31/2010,5,Climanalise
117,01/01/2011,01/07/2011,7,Climanalise
118,01/11/2011,01/16/2011,6,Climanalise
119,01/18/2011,01/21/2011,4,Climanalise
120,02/09/2011,02/16/2011,8,Climanalise
121,02/28/2011,03/09/2011,10,Climanalise
122,03/10/2011,03/18/2011,9,Climanalise
123,10/17/2011,10/21/2011,5,Climanalise
124,10/31/2011,11/04/2011,5,Climanalise
125,11/22/2011,11/29/2011,8,Climanalise
126,12/01/2011,12/04/2011,4,Climanalise
127,12/14/2011,12/21/2011,8,Climanalise
128,12/25/2011,12/30/2011,6,Climanalise
129,01/01/2012,01/08/2012,8,Climanalise
130,01/14/2012,01/20/2012,7,Climanalise
131,01/26/2012,01/30/2012,5,Climanalise
132,02/11/2012,02/14/2012,4,Climanalise
133,03/16/2012,03/21/2012,6,Climanalise
134,11/04/2012,11/08/2012,5,Climanalise
135,11/14/2012,11/22/2012,9,Climanalise
136,11/25/2012,11/28/2012,4,Climanalise
137,12/14/2012,12/17/2012,4,Climanalise
138,01/09/2013,01/14/2013,6,Climanalise
139,01/19/2013,01/23/2013,5,Climanalise
140,01/26/2013,01/31/2013,6,Climanalise
141,02/03/2013,02/06/2013,4,Climanalise
142,02/07/2013,02/14/2013,8,Climanalise
143,03/15/2013,03/19/2013,5,Climanalise
144,03/21/2013,03/31/2013,11,Climanalise
145,10/04/2013,10/09/2013,6,Climanalise
146,10/17/2013,10/20/2013,4,Climanalise
147,11/04/2013,11/08/2013,5,Climanalise
148,11/22/2013,11/26/2013,5,Climanalise
149,12/11/2013,12/26/2013,16,Climanalise
150,01/17/2014,01/21/2014,5,Climanalise
151,02/15/2014,02/18/2014,4,Climanalise
152,11/14/2014,11/19/2014,6,Climanalise
153,11/26/2014,11/29/2014,4,Climanalise
154,12/22/2014,12/25/2014,4,Climanalise
155,02/04/2015,02/08/2015,5,Climanalise
156,02/15/2015,02/18/2015,4,Climanalise
